WorkOrderID,ReceivedDate,CompletedDate,ClientID,ServiceLine,Department,EmployeeID,Priority,ProductionCount,BillableHours,QualityScore,ReworkFlag,SLATargetHours,AHTMinutes,TATHours,SLAMet,CompletionMonth
WO001255,2025-05-27 01:38:40,2025-05-28 16:58:28,C010,Policy Administration,Operations North,E001,Standard,4,1.18,94.7,No,72,17.67,39.33,Met,2025-05
WO000498,2025-05-26 22:24:39,2025-05-28 18:45:39,C013,Certificate Issuance,Operations Central,E035,Standard,2,0.69,91.7,No,48,20.60,44.35,Met,2025-05
WO001119,2025-05-28 02:13:54,2025-05-28 21:50:30,C001,Direct Bill Posting,Operations North,E008,Standard,19,3.24,98.0,No,48,10.22,19.61,Met,2025-05
WO000787,2025-05-28 15:44:52,2025-05-29 09:50:52,C012,Document Retrieval,Operations North,E029,Standard,4,0.86,96.8,No,24,12.85,18.10,Met,2025-05
WO000089,2025-05-28 14:26:12,2025-05-29 12:20:12,C012,Policy Administration,Operations Central,E036,Rush,3,1.26,95.3,No,36,25.15,21.90,Met,2025-05
WO000466,2025-05-27 23:49:28,2025-05-29 18:30:16,C015,Direct Bill Posting,Operations North,E024,Standard,17,2.47,92.1,No,48,8.72,42.68,Met,2025-05
WO000943,2025-05-29 09:19:34,2025-05-30 02:26:46,C007,Document Retrieval,Operations Central,E009,Standard,1,0.24,97.5,No,24,14.40,17.12,Met,2025-05
WO000839,2025-05-28 17:44:41,2025-05-30 06:31:29,C010,Policy Administration,Operations Central,E015,Rush,4,1.72,98.8,No,36,25.87,36.78,Not Met,2025-05
WO001685,2025-05-28 19:27:36,2025-05-30 07:13:48,C006,Certificate Issuance,Operations North,E007,Standard,2,0.72,98.1,No,48,21.54,35.77,Met,2025-05
WO000704,2025-05-29 16:55:56,2025-05-30 17:49:56,C015,Policy Administration,Operations North,E001,Standard,5,2.22,92.9,No,72,26.61,24.90,Met,2025-05
WO001391,2025-05-29 06:44:13,2025-05-30 18:07:37,C005,Certificate Issuance,Operations South,E031,Standard,3,0.68,92.6,No,48,13.54,35.39,Met,2025-05
WO001731,2025-05-29 22:27:56,2025-05-31 04:51:20,C007,Policy Administration,Operations South,E030,Standard,2,0.54,96.8,No,72,16.15,30.39,Met,2025-05
WO000417,2025-05-29 19:16:21,2025-05-31 09:19:21,C001,Policy Checking,Operations Central,E011,Standard,1,0.77,96.6,No,72,46.02,38.05,Met,2025-05
WO001146,2025-05-31 02:48:08,2025-05-31 12:34:56,C002,Document Retrieval,Operations South,E002,Standard,8,1.26,93.4,No,24,9.44,9.78,Met,2025-05
WO001783,2025-05-26 13:46:59,2025-05-31 14:03:11,C010,Policy Administration,Operations North,E012,Standard,3,1.10,95.7,No,72,22.03,120.27,Not Met,2025-05
WO001014,2025-05-30 18:05:01,2025-05-31 16:08:01,C005,Certificate Issuance,Operations North,E017,Standard,5,1.13,97.7,No,48,13.58,22.05,Met,2025-05
WO001021,2025-05-28 06:56:36,2025-05-31 18:31:24,C009,Policy Checking,Operations Central,E027,Standard,3,1.65,94.8,No,72,33.02,83.58,Not Met,2025-05
WO000786,2025-05-30 09:35:45,2025-06-01 06:16:33,C011,Direct Bill Posting,Operations North,E019,Standard,5,0.78,92.0,No,48,9.32,44.68,Met,2025-06
WO001148,2025-05-31 23:18:31,2025-06-01 07:43:07,C004,Certificate Issuance,Operations South,E034,Rush,4,1.41,90.4,Yes,24,21.12,8.41,Met,2025-06
WO001314,2025-05-31 16:25:32,2025-06-01 14:47:08,C004,Policy Checking,Operations North,E008,Standard,3,2.22,94.2,No,72,44.49,22.36,Met,2025-06
WO000894,2025-06-01 03:04:46,2025-06-01 17:11:22,C002,Document Retrieval,Operations South,E020,Standard,4,0.70,99.5,No,24,10.57,14.11,Met,2025-06
WO001041,2025-05-31 02:54:29,2025-06-02 05:29:17,C005,Certificate Issuance,Operations North,E013,Standard,4,0.93,99.6,No,48,13.91,50.58,Not Met,2025-06
WO000072,2025-05-31 03:56:06,2025-06-02 11:29:42,C012,Direct Bill Posting,Operations Central,E008,Standard,14,1.52,96.7,No,48,6.51,55.56,Not Met,2025-06
WO000270,2025-06-02 10:58:13,2025-06-03 08:43:13,C007,Policy Checking,Operations South,E025,Standard,3,1.71,92.7,No,72,34.10,21.75,Met,2025-06
WO000531,2025-06-03 02:05:52,2025-06-03 20:08:52,C011,Direct Bill Posting,Operations North,E036,Standard,8,1.18,96.7,No,48,8.82,18.05,Met,2025-06
WO001434,2025-06-03 15:30:53,2025-06-04 00:23:05,C012,Document Retrieval,Operations North,E013,Standard,10,2.40,97.9,No,24,14.40,8.87,Met,2025-06
WO000098,2025-06-03 07:09:31,2025-06-05 03:28:07,C004,Certificate Issuance,Operations Central,E034,Standard,5,1.61,91.3,No,48,19.33,44.31,Met,2025-06
WO000871,2025-06-03 20:54:06,2025-06-05 07:46:54,C014,Direct Bill Posting,Operations North,E006,Standard,8,0.95,95.8,No,48,7.11,34.88,Met,2025-06
WO001383,2025-06-04 12:58:53,2025-06-05 09:40:53,C001,Direct Bill Posting,Operations North,E032,Rush,17,2.62,96.3,No,24,9.23,20.70,Met,2025-06
WO000932,2025-06-04 03:21:09,2025-06-05 12:59:33,C001,Direct Bill Posting,Operations South,E006,Standard,17,2.76,96.1,No,48,9.75,33.64,Met,2025-06
WO000774,2025-06-05 05:26:36,2025-06-05 13:34:24,C011,Certificate Issuance,Operations South,E028,Rush,4,1.57,96.2,No,24,23.55,8.13,Met,2025-06
WO000305,2025-06-03 21:29:49,2025-06-05 19:00:25,C010,Certificate Issuance,Operations Central,E022,Standard,4,0.87,96.5,No,48,12.99,45.51,Met,2025-06
WO001162,2025-06-05 02:12:00,2025-06-06 02:06:36,C014,Certificate Issuance,Operations Central,E019,Standard,5,1.72,99.7,No,48,20.63,23.91,Met,2025-06
WO000371,2025-06-05 07:15:44,2025-06-06 02:39:44,C007,Document Retrieval,Operations Central,E006,Standard,10,1.72,90.1,Yes,24,10.32,19.40,Met,2025-06
WO001549,2025-06-04 15:39:49,2025-06-06 05:51:49,C013,Direct Bill Posting,Operations South,E029,Standard,16,2.85,92.7,No,48,10.68,38.20,Met,2025-06
WO001452,2025-06-01 15:30:16,2025-06-06 09:22:28,C007,Policy Administration,Operations North,E011,Standard,5,2.46,90.5,Yes,72,29.47,113.87,Not Met,2025-06
WO000263,2025-06-05 17:18:46,2025-06-06 16:29:34,C007,Policy Administration,Operations Central,E028,Standard,2,0.73,93.3,No,72,21.80,23.18,Met,2025-06
WO000730,2025-06-03 23:47:10,2025-06-06 17:47:46,C002,Policy Administration,Operations South,E010,Standard,3,0.90,97.6,No,72,17.93,66.01,Met,2025-06
WO000164,2025-06-05 21:48:22,2025-06-07 04:14:46,C006,Policy Administration,Operations North,E003,Standard,3,1.26,98.7,No,72,25.28,30.44,Met,2025-06
WO000484,2025-06-06 01:25:26,2025-06-07 11:12:14,C015,Direct Bill Posting,Operations Central,E032,Standard,16,2.60,99.6,No,48,9.75,33.78,Met,2025-06
WO001459,2025-06-06 17:54:36,2025-06-07 18:07:48,C002,Policy Checking,Operations South,E022,Standard,4,3.00,99.9,No,72,44.98,24.22,Met,2025-06
WO000475,2025-06-07 01:02:13,2025-06-08 13:55:01,C004,Policy Checking,Operations North,E014,Standard,2,1.56,94.1,No,72,46.73,36.88,Met,2025-06
WO001134,2025-06-06 10:10:05,2025-06-08 16:19:05,C006,Policy Administration,Operations North,E035,Standard,2,0.62,91.5,Yes,72,18.54,54.15,Met,2025-06
WO000792,2025-06-07 18:08:01,2025-06-08 19:44:01,C012,Policy Administration,Operations Central,E025,Standard,1,0.28,95.1,Yes,72,16.67,25.60,Met,2025-06
WO001670,2025-06-08 23:20:55,2025-06-09 11:33:31,C006,Certificate Issuance,Operations Central,E020,Rush,6,2.29,97.8,No,24,22.85,12.21,Met,2025-06
WO001063,2025-06-04 16:55:45,2025-06-09 20:41:57,C006,Policy Checking,Operations Central,E006,Standard,4,2.51,97.9,No,72,37.59,123.77,Not Met,2025-06
WO001428,2025-06-08 13:39:02,2025-06-10 01:16:14,C013,Certificate Issuance,Operations South,E034,Standard,1,0.22,93.4,No,48,13.08,35.62,Met,2025-06
WO000178,2025-06-08 21:21:17,2025-06-10 06:45:53,C014,Policy Checking,Operations Central,E015,Standard,3,1.68,90.3,Yes,72,33.67,33.41,Met,2025-06
WO001125,2025-06-09 23:08:55,2025-06-11 10:20:55,C007,Policy Checking,Operations North,E005,Standard,2,0.89,94.5,No,72,26.60,35.20,Met,2025-06
WO001725,2025-06-09 09:44:30,2025-06-11 11:26:30,C004,Policy Checking,Operations Central,E018,Standard,2,0.94,99.8,No,72,28.06,49.70,Met,2025-06
WO001344,2025-06-10 12:47:31,2025-06-12 05:41:31,C007,Policy Administration,Operations Central,E028,Standard,1,0.27,92.0,No,72,16.40,40.90,Met,2025-06
WO000696,2025-06-10 22:16:25,2025-06-12 07:45:49,C011,Certificate Issuance,Operations Central,E027,Standard,1,0.31,93.5,No,48,18.41,33.49,Met,2025-06
WO000255,2025-06-11 18:44:37,2025-06-12 14:48:13,C013,Certificate Issuance,Operations North,E022,Standard,3,1.11,94.7,Yes,48,22.19,20.06,Met,2025-06
WO001662,2025-06-11 13:54:56,2025-06-12 22:19:32,C011,Direct Bill Posting,Operations North,E021,Standard,9,1.54,98.6,No,48,10.25,32.41,Met,2025-06
WO001713,2025-06-11 17:32:20,2025-06-12 23:17:56,C007,Policy Checking,Operations North,E019,Standard,4,2.62,95.9,No,72,39.23,29.76,Met,2025-06
WO000377,2025-06-11 16:49:04,2025-06-13 13:18:28,C012,Policy Administration,Operations North,E003,Standard,4,1.90,95.4,No,72,28.47,44.49,Met,2025-06
WO001272,2025-06-11 17:11:05,2025-06-13 17:35:05,C001,Policy Checking,Operations North,E001,Standard,2,1.03,94.7,No,72,30.85,48.40,Met,2025-06
WO001592,2025-06-13 05:03:47,2025-06-13 18:29:35,C010,Policy Checking,Operations South,E027,Rush,3,1.39,96.3,No,36,27.89,13.43,Met,2025-06
WO000664,2025-06-13 12:02:48,2025-06-14 04:20:12,C012,Certificate Issuance,Operations North,E032,Standard,4,0.90,92.5,No,48,13.55,16.29,Met,2025-06
WO000316,2025-06-13 10:46:13,2025-06-14 15:32:25,C011,Direct Bill Posting,Operations North,E034,Standard,7,0.92,94.4,No,48,7.92,28.77,Met,2025-06
WO000222,2025-06-13 09:42:16,2025-06-14 19:40:28,C006,Policy Checking,Operations North,E017,Standard,2,0.87,96.6,No,72,26.14,33.97,Met,2025-06
WO000376,2025-06-11 05:38:48,2025-06-14 20:58:00,C015,Certificate Issuance,Operations Central,E015,Standard,4,1.00,97.4,No,48,14.95,87.32,Not Met,2025-06
WO000216,2025-06-12 21:09:58,2025-06-14 23:58:34,C006,Certificate Issuance,Operations South,E004,Standard,4,1.20,97.7,No,48,17.99,50.81,Not Met,2025-06
WO000515,2025-06-14 01:17:45,2025-06-15 07:57:21,C013,Policy Checking,Operations North,E015,Rush,3,2.24,95.3,No,36,44.84,30.66,Met,2025-06
WO001071,2025-06-14 16:24:54,2025-06-15 14:25:30,C003,Direct Bill Posting,Operations North,E008,Standard,16,1.73,98.0,No,48,6.47,22.01,Met,2025-06
WO000018,2025-06-15 10:38:37,2025-06-16 03:03:49,C013,Certificate Issuance,Operations South,E015,Standard,5,1.50,96.3,No,48,17.95,16.42,Met,2025-06
WO000589,2025-06-15 20:37:05,2025-06-16 10:16:41,C005,Document Retrieval,Operations North,E022,Standard,9,1.66,96.8,No,24,11.09,13.66,Met,2025-06
WO001225,2025-06-15 05:27:16,2025-06-16 22:53:40,C008,Policy Administration,Operations North,E013,Standard,1,0.42,90.4,Yes,72,24.98,41.44,Met,2025-06
WO001376,2025-06-16 16:08:56,2025-06-17 03:14:56,C011,Document Retrieval,Operations Central,E027,Standard,6,1.41,95.9,No,24,14.14,11.10,Met,2025-06
WO000019,2025-06-16 10:16:01,2025-06-17 07:30:25,C006,Document Retrieval,Operations Central,E023,Standard,3,0.71,97.4,No,24,14.23,21.24,Met,2025-06
WO000460,2025-06-16 16:31:39,2025-06-17 18:17:15,C014,Direct Bill Posting,Operations South,E022,Standard,12,1.26,97.5,No,48,6.29,25.76,Met,2025-06
WO001023,2025-06-17 05:11:38,2025-06-17 18:44:38,C002,Direct Bill Posting,Operations Central,E025,Rush,15,1.57,91.2,No,24,6.27,13.55,Met,2025-06
WO000565,2025-06-16 06:49:44,2025-06-17 19:14:56,C014,Policy Administration,Operations Central,E029,Standard,1,0.40,90.3,Yes,72,23.91,36.42,Met,2025-06
WO001482,2025-06-13 01:35:53,2025-06-18 05:01:05,C001,Policy Administration,Operations South,E027,Standard,1,0.37,93.8,No,72,22.10,123.42,Not Met,2025-06
WO000783,2025-06-16 21:27:15,2025-06-18 19:58:27,C006,Policy Checking,Operations Central,E033,Standard,1,0.59,98.0,No,72,35.24,46.52,Met,2025-06
WO000863,2025-06-17 13:39:52,2025-06-18 22:08:40,C007,Policy Administration,Operations North,E008,Standard,2,0.69,91.9,No,72,20.65,32.48,Met,2025-06
WO001163,2025-06-18 07:29:40,2025-06-19 07:05:04,C002,Certificate Issuance,Operations North,E001,Standard,3,1.20,91.9,No,48,23.93,23.59,Met,2025-06
WO000842,2025-06-17 15:43:18,2025-06-19 09:36:42,C010,Direct Bill Posting,Operations North,E015,Standard,11,1.31,90.5,Yes,48,7.14,41.89,Met,2025-06
WO000993,2025-06-18 08:50:33,2025-06-19 10:23:33,C007,Policy Checking,Operations Central,E018,Standard,2,1.00,92.1,No,72,29.92,25.55,Met,2025-06
WO000685,2025-06-18 21:38:55,2025-06-19 13:00:31,C001,Document Retrieval,Operations South,E031,Standard,9,1.47,96.3,No,24,9.83,15.36,Met,2025-06
WO001156,2025-06-18 07:43:06,2025-06-19 19:23:54,C006,Certificate Issuance,Operations South,E010,Standard,2,0.47,93.1,No,48,14.24,35.68,Met,2025-06
WO000140,2025-06-19 18:59:48,2025-06-20 07:59:48,C008,Document Retrieval,Operations Central,E035,Standard,9,1.83,93.7,No,24,12.19,13.00,Met,2025-06
WO001292,2025-06-17 23:18:07,2025-06-20 11:00:43,C011,Direct Bill Posting,Operations North,E004,Standard,16,2.79,99.8,No,48,10.48,59.71,Not Met,2025-06
WO001326,2025-06-18 17:16:18,2025-06-20 11:46:54,C006,Certificate Issuance,Operations North,E029,Standard,6,1.37,96.9,No,48,13.73,42.51,Met,2025-06
WO000635,2025-06-20 01:19:31,2025-06-20 13:09:19,C006,Document Retrieval,Operations North,E035,Standard,10,2.17,98.6,No,24,13.01,11.83,Met,2025-06
WO001407,2025-06-19 05:02:20,2025-06-20 21:05:20,C011,Document Retrieval,Operations North,E002,Standard,8,1.58,95.4,No,24,11.87,40.05,Not Met,2025-06
WO001402,2025-06-20 21:00:01,2025-06-21 19:51:37,C009,Policy Checking,Operations South,E035,Standard,1,0.69,95.1,No,72,41.45,22.86,Met,2025-06
WO000053,2025-06-20 19:08:52,2025-06-22 12:56:52,C008,Certificate Issuance,Operations North,E027,Standard,5,1.61,97.0,No,48,19.29,41.80,Met,2025-06
WO001195,2025-06-21 17:20:37,2025-06-22 20:28:25,C010,Direct Bill Posting,Operations Central,E003,Standard,18,2.21,97.2,No,48,7.38,27.13,Met,2025-06
WO001460,2025-06-20 23:50:12,2025-06-22 21:19:36,C002,Policy Administration,Operations Central,E028,Standard,1,0.48,99.0,No,72,28.95,45.49,Met,2025-06
WO001080,2025-06-20 12:18:38,2025-06-22 22:22:50,C002,Policy Administration,Operations South,E027,Standard,5,2.22,93.6,Yes,72,26.69,58.07,Met,2025-06
WO001425,2025-06-21 09:21:04,2025-06-23 15:29:28,C007,Direct Bill Posting,Operations North,E017,Standard,5,0.69,98.8,No,48,8.33,54.14,Not Met,2025-06
WO000677,2025-06-22 16:47:31,2025-06-24 02:49:55,C012,Policy Checking,Operations Central,E030,Standard,2,1.23,91.3,No,72,36.81,34.04,Met,2025-06
WO000038,2025-06-23 18:27:24,2025-06-24 10:25:00,C012,Document Retrieval,Operations South,E021,Standard,7,1.19,91.5,No,24,10.18,15.96,Met,2025-06
WO001016,2025-06-21 19:30:02,2025-06-24 12:22:50,C009,Policy Checking,Operations South,E032,Standard,1,0.57,93.0,No,72,34.37,64.88,Met,2025-06
WO001116,2025-06-21 02:03:54,2025-06-24 19:07:30,C006,Policy Administration,Operations Central,E007,Standard,5,2.17,90.6,Yes,72,26.10,89.06,Not Met,2025-06
WO000007,2025-06-25 19:05:33,2025-06-26 15:36:09,C011,Direct Bill Posting,Operations North,E033,Standard,18,2.37,96.2,No,48,7.90,20.51,Met,2025-06
WO000886,2025-06-25 03:58:30,2025-06-26 16:41:06,C007,Policy Administration,Operations Central,E018,Standard,1,0.43,95.7,No,72,25.56,36.71,Met,2025-06
WO001307,2025-06-25 11:51:32,2025-06-26 19:20:56,C012,Policy Administration,Operations North,E032,Standard,4,1.77,99.8,No,72,26.58,31.49,Met,2025-06
WO001441,2025-06-26 11:09:15,2025-06-26 22:20:39,C008,Policy Checking,Operations South,E006,Rush,1,0.72,92.2,No,36,43.48,11.19,Met,2025-06
WO000123,2025-06-26 06:00:00,2025-06-27 01:46:12,C008,Certificate Issuance,Operations North,E008,Standard,3,0.66,96.3,No,48,13.24,19.77,Met,2025-06
WO000702,2025-06-24 17:03:30,2025-06-27 04:26:54,C013,Direct Bill Posting,Operations Central,E024,Standard,15,1.94,91.7,No,48,7.77,59.39,Not Met,2025-06
WO000477,2025-06-24 01:59:46,2025-06-27 08:24:22,C007,Certificate Issuance,Operations North,E018,Standard,6,1.35,97.9,No,48,13.52,78.41,Not Met,2025-06
WO000802,2025-06-27 05:36:06,2025-06-27 15:51:42,C001,Certificate Issuance,Operations Central,E014,Rush,4,1.51,94.9,No,24,22.66,10.26,Met,2025-06
WO000857,2025-06-27 18:48:15,2025-06-27 23:06:15,C008,Document Retrieval,Operations South,E010,Rush,5,0.97,95.6,No,12,11.65,4.30,Met,2025-06
WO000180,2025-06-28 07:03:53,2025-06-28 20:44:05,C003,Document Retrieval,Operations North,E032,Standard,8,1.39,92.5,No,24,10.39,13.67,Met,2025-06
WO000612,2025-06-28 19:12:02,2025-06-29 04:58:50,C008,Document Retrieval,Operations Central,E034,Rush,10,2.18,95.8,No,12,13.09,9.78,Met,2025-06
WO001602,2025-06-27 11:48:34,2025-06-29 06:47:22,C002,Direct Bill Posting,Operations South,E028,Standard,8,1.22,93.7,No,48,9.12,42.98,Met,2025-06
WO000448,2025-06-27 16:47:17,2025-06-29 13:22:05,C014,Document Retrieval,Operations North,E032,Standard,8,1.86,96.2,No,24,13.94,44.58,Not Met,2025-06
WO001456,2025-06-27 20:28:08,2025-06-29 13:26:56,C010,Certificate Issuance,Operations Central,E033,Standard,5,1.79,91.9,No,48,21.47,40.98,Met,2025-06
WO001538,2025-06-29 08:00:11,2025-06-29 15:34:23,C002,Document Retrieval,Operations Central,E029,Standard,10,2.54,95.8,No,24,15.25,7.57,Met,2025-06
WO000519,2025-06-28 22:08:16,2025-06-30 01:50:52,C013,Policy Administration,Operations South,E016,Standard,1,0.41,95.9,No,72,24.90,27.71,Met,2025-06
WO001463,2025-06-29 00:18:51,2025-06-30 07:07:27,C010,Document Retrieval,Operations North,E001,Standard,1,0.24,92.0,No,24,14.67,30.81,Not Met,2025-06
WO000396,2025-06-30 13:59:47,2025-07-01 03:41:11,C002,Document Retrieval,Operations Central,E002,Standard,1,0.15,90.9,Yes,24,9.06,13.69,Met,2025-07
WO001183,2025-06-29 13:30:57,2025-07-01 11:54:57,C010,Policy Checking,Operations Central,E005,Standard,1,0.68,93.2,No,72,40.54,46.40,Met,2025-07
WO001528,2025-06-29 12:43:11,2025-07-02 02:22:47,C010,Policy Checking,Operations South,E004,Standard,1,0.47,95.9,No,72,28.02,61.66,Met,2025-07
WO001253,2025-06-27 04:41:17,2025-07-02 02:26:17,C003,Policy Checking,Operations South,E017,Standard,2,1.11,92.6,No,72,33.30,117.75,Not Met,2025-07
WO001353,2025-07-01 14:10:19,2025-07-02 12:47:31,C015,Document Retrieval,Operations North,E022,Standard,4,0.93,91.3,No,24,14.00,22.62,Met,2025-07
WO000044,2025-07-02 09:30:38,2025-07-02 19:31:50,C011,Document Retrieval,Operations North,E015,Standard,5,1.00,98.1,No,24,11.97,10.02,Met,2025-07
WO001237,2025-07-01 08:52:11,2025-07-02 23:05:23,C002,Certificate Issuance,Operations Central,E021,Standard,3,1.09,93.8,No,48,21.78,38.22,Met,2025-07
WO000189,2025-07-01 02:12:42,2025-07-03 01:32:30,C011,Policy Administration,Operations South,E005,Standard,5,1.84,91.2,No,72,22.07,47.33,Met,2025-07
WO001065,2025-07-01 19:17:02,2025-07-03 18:42:14,C001,Policy Checking,Operations North,E028,Rush,2,0.99,98.6,No,36,29.63,47.42,Not Met,2025-07
WO001664,2025-07-03 07:06:25,2025-07-04 09:26:13,C008,Direct Bill Posting,Operations Central,E025,Standard,7,0.71,90.4,Yes,48,6.06,26.33,Met,2025-07
WO001101,2025-07-03 08:39:03,2025-07-04 19:25:51,C003,Policy Administration,Operations Central,E003,Standard,3,0.86,97.0,No,72,17.22,34.78,Met,2025-07
WO000467,2025-07-03 00:57:16,2025-07-05 03:55:28,C004,Policy Checking,Operations North,E019,Standard,2,1.14,98.2,No,72,34.05,50.97,Met,2025-07
WO000012,2025-07-02 20:24:06,2025-07-05 22:49:54,C011,Certificate Issuance,Operations South,E013,Standard,4,0.92,95.7,No,48,13.85,74.43,Not Met,2025-07
WO000036,2025-07-03 19:50:28,2025-07-06 02:55:52,C006,Policy Checking,Operations Central,E029,Standard,1,0.65,99.0,No,72,39.18,55.09,Met,2025-07
WO000663,2025-07-04 00:49:59,2025-07-06 11:25:23,C005,Policy Checking,Operations North,E028,Standard,3,1.82,99.4,No,72,36.38,58.59,Met,2025-07
WO001630,2025-07-06 07:59:59,2025-07-06 23:50:23,C002,Certificate Issuance,Operations South,E004,Standard,4,0.99,91.4,No,48,14.85,15.84,Met,2025-07
WO000054,2025-07-04 22:29:08,2025-07-07 01:10:32,C006,Policy Administration,Operations Central,E014,Standard,1,0.42,91.0,No,72,24.97,50.69,Met,2025-07
WO000878,2025-07-07 07:42:55,2025-07-07 22:45:19,C005,Document Retrieval,Operations Central,E025,Standard,8,1.18,94.4,No,24,8.82,15.04,Met,2025-07
WO001413,2025-07-07 08:45:51,2025-07-08 00:39:15,C003,Direct Bill Posting,Operations North,E005,Standard,5,0.88,93.6,No,48,10.62,15.89,Met,2025-07
WO001220,2025-07-07 14:01:33,2025-07-08 01:45:57,C013,Direct Bill Posting,Operations North,E005,Rush,11,1.96,94.6,No,24,10.68,11.74,Met,2025-07
WO001793,2025-07-06 13:48:10,2025-07-08 04:29:34,C011,Direct Bill Posting,Operations South,E009,Standard,15,2.49,99.1,No,48,9.97,38.69,Met,2025-07
WO000169,2025-07-07 23:21:28,2025-07-08 18:31:40,C002,Certificate Issuance,Operations Central,E012,Standard,1,0.23,92.4,No,48,13.71,19.17,Met,2025-07
WO000909,2025-07-08 00:26:09,2025-07-09 02:16:33,C006,Certificate Issuance,Operations Central,E034,Rush,5,1.83,92.2,No,24,21.93,25.84,Not Met,2025-07
WO000116,2025-07-07 04:30:43,2025-07-09 07:33:43,C012,Policy Checking,Operations Central,E036,Rush,4,2.88,97.8,No,36,43.24,51.05,Not Met,2025-07
WO000881,2025-07-08 13:02:05,2025-07-09 22:52:29,C013,Policy Checking,Operations South,E006,Rush,1,0.79,97.5,No,36,47.53,33.84,Met,2025-07
WO000868,2025-07-07 12:18:42,2025-07-09 23:45:42,C011,Certificate Issuance,Operations North,E024,Standard,3,1.15,91.1,No,48,23.06,59.45,Not Met,2025-07
WO001260,2025-07-08 23:57:30,2025-07-12 07:58:06,C004,Certificate Issuance,Operations South,E019,Standard,1,0.29,96.8,No,48,17.51,80.01,Not Met,2025-07
WO001293,2025-07-10 13:19:40,2025-07-12 12:16:40,C001,Policy Checking,Operations Central,E027,Standard,4,2.62,97.0,No,72,39.32,46.95,Met,2025-07
WO001180,2025-07-11 21:35:40,2025-07-12 13:51:16,C007,Policy Checking,Operations South,E012,Rush,4,2.16,97.0,No,36,32.44,16.26,Met,2025-07
WO000536,2025-07-11 12:09:31,2025-07-12 18:17:19,C013,Policy Administration,Operations North,E035,Standard,3,0.83,95.0,No,72,16.60,30.13,Met,2025-07
WO001018,2025-07-11 21:50:45,2025-07-13 02:06:57,C011,Document Retrieval,Operations North,E010,Standard,9,2.39,99.8,No,24,15.94,28.27,Not Met,2025-07
WO001551,2025-07-10 14:45:28,2025-07-13 07:38:52,C008,Policy Administration,Operations South,E015,Standard,5,1.69,92.7,No,72,20.24,64.89,Met,2025-07
WO000914,2025-07-11 00:42:19,2025-07-13 14:15:55,C011,Policy Checking,Operations Central,E017,Standard,4,1.98,97.9,No,72,29.67,61.56,Met,2025-07
WO000173,2025-07-13 21:31:00,2025-07-14 01:29:48,C008,Document Retrieval,Operations South,E012,Rush,6,1.29,96.4,No,12,12.93,3.98,Met,2025-07
WO000741,2025-07-12 23:59:37,2025-07-14 02:20:37,C007,Policy Checking,Operations Central,E010,Rush,4,2.22,92.0,No,36,33.36,26.35,Met,2025-07
WO001765,2025-07-13 02:23:41,2025-07-14 03:57:17,C009,Policy Checking,Operations South,E018,Standard,2,1.36,95.4,No,72,40.90,25.56,Met,2025-07
WO001561,2025-07-12 22:14:29,2025-07-14 07:17:29,C004,Certificate Issuance,Operations South,E030,Standard,4,1.60,97.3,No,48,24.00,33.05,Met,2025-07
WO000218,2025-07-14 01:49:44,2025-07-14 18:12:32,C003,Direct Bill Posting,Operations North,E015,Standard,7,1.03,95.4,No,48,8.83,16.38,Met,2025-07
WO001761,2025-07-13 22:38:49,2025-07-14 21:46:37,C012,Policy Administration,Operations South,E028,Standard,1,0.47,98.0,No,72,28.47,23.13,Met,2025-07
WO000714,2025-07-13 18:39:58,2025-07-14 23:37:34,C010,Policy Checking,Operations Central,E016,Standard,4,2.98,95.2,No,72,44.66,28.96,Met,2025-07
WO000661,2025-07-11 13:33:19,2025-07-15 04:12:19,C006,Certificate Issuance,Operations Central,E032,Standard,2,0.79,92.8,No,48,23.64,86.65,Not Met,2025-07
WO000170,2025-07-13 03:18:12,2025-07-15 10:57:48,C014,Policy Checking,Operations North,E017,Standard,2,1.22,97.9,No,72,36.67,55.66,Met,2025-07
WO001011,2025-07-13 21:13:53,2025-07-16 01:24:41,C004,Policy Checking,Operations Central,E033,Standard,3,2.15,92.7,No,72,42.99,52.18,Met,2025-07
WO001096,2025-07-14 15:09:04,2025-07-16 05:58:16,C010,Policy Administration,Operations South,E025,Rush,3,1.14,99.8,No,36,22.77,38.82,Not Met,2025-07
WO001336,2025-07-16 07:45:50,2025-07-16 15:49:26,C002,Document Retrieval,Operations Central,E011,Standard,10,1.97,93.1,No,24,11.80,8.06,Met,2025-07
WO000641,2025-07-14 16:19:23,2025-07-17 06:04:59,C014,Policy Administration,Operations Central,E012,Standard,1,0.34,97.1,No,72,20.15,61.76,Met,2025-07
WO000086,2025-07-16 14:39:15,2025-07-17 10:23:39,C005,Direct Bill Posting,Operations South,E016,Standard,13,2.06,97.9,No,48,9.52,19.74,Met,2025-07
WO001454,2025-07-16 11:12:20,2025-07-17 14:26:08,C006,Policy Administration,Operations South,E016,Standard,5,2.29,91.1,No,72,27.51,27.23,Met,2025-07
WO000718,2025-07-17 03:26:43,2025-07-17 20:29:07,C014,Direct Bill Posting,Operations Central,E036,Standard,20,3.31,98.8,No,48,9.92,17.04,Met,2025-07
WO000295,2025-07-16 04:39:50,2025-07-17 22:54:50,C006,Certificate Issuance,Operations South,E029,Standard,3,1.14,97.9,No,48,22.70,42.25,Met,2025-07
